Net Status Report
Filename     : C:\Users\Public\Documents\Altium\AutonomousSensorBaseBoard\ASBB.PcbDoc
Date         : 13.08.2018
Time         : 09:31:14
Time Elapsed : 00:00:01

Nets, Layer, Length
    3.3V, Signal Layers Only, 18364.403mils
    5V, Signal Layers Only, 14394.144mils
    DBG_SWCLK, Signal Layers Only, 294.927mils
    DBG_SWDIO, Signal Layers Only, 425.251mils
    DBG_SWO, Signal Layers Only, 290.524mils
    DBG_TDI, Signal Layers Only, 344.406mils
    DBG_nRESET, Signal Layers Only, 2479.596mils
    GG_QSPI0_CD, Signal Layers Only, 2544.789mils
    GG_QSPI0_DQ0, Signal Layers Only, 1973.397mils
    GG_QSPI0_DQ1, Signal Layers Only, 2044.225mils
    GG_QSPI0_DQ2, Signal Layers Only, 1623.792mils
    GG_QSPI0_DQ3, Signal Layers Only, 1623.361mils
    GG_QSPI0_DQS, Signal Layers Only, 1953.078mils
    GG_QSPI0_SCLK, Signal Layers Only, 2086.218mils
    GG_US0_CLK, Signal Layers Only, 1992.635mils
    GG_US0_RX, Signal Layers Only, 1880.909mils
    GG_US0_TX, Signal Layers Only, 1722.538mils
    GND, Signal Layers Only, 7496.898mils
    HF_XTAL0, Signal Layers Only, 255.285mils
    HF_XTAL1, Signal Layers Only, 190.132mils
    HPC_CS0, Signal Layers Only, 1523.935mils
    HPC_CS1, Signal Layers Only, 3624.512mils
    HPC_MISO, Signal Layers Only, 1638.261mils
    HPC_MOSI, Signal Layers Only, 1911.279mils
    HPC_SCK, Signal Layers Only, 3909.037mils
    LF_XTAL0, Signal Layers Only, 247.35mils
    LF_XTAL1, Signal Layers Only, 214.97mils
    MG_DBG_#RESET, Signal Layers Only, 1233.097mils
    MG_DBG_SWCLK, Signal Layers Only, 1212.843mils
    MG_DBG_SWDIO, Signal Layers Only, 1315.214mils
    MG_DBG_SWO, Signal Layers Only, 1239.689mils
    MG_DBG_TDI, Signal Layers Only, 1298.753mils
